p1,p2,Winner
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Fireball', 'Giant', 'Heal Spirit', 'Mini P.E.K.K.A', 'Sparky', 'Tornado', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Barbarian Barrel', 'Cannon Cart', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mega Knight', 'Mother Witch']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Electro Spirit', 'Fireball', 'Fisherman', 'Mega Minion', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Freeze', 'Graveyard', 'Hunter', 'Prince', 'Royal Delivery', 'Royal Ghost', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archers', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Arrows', 'Balloon', 'Electro Wizard', 'Fireball', 'Giant', 'Minions', 'Night Witch', 'Prince']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Bandit', 'Barbarian Barrel', 'Elite Barbarians', 'Fireball', 'Heal Spirit', 'Magic Archer', 'Mother Witch', 'Royal Ghost']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archers', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Arrows', 'Balloon', 'Barbarians', 'Lava Hound', 'Lightning', 'Mega Minion', 'Skeleton Dragons', 'Tombstone']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Golden Knight', 'Magic Archer', 'P.E.K.K.A', 'Zap']",p1
