p1,p2,Winner
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Goblin Cage', 'Lightning', 'Mother Witch', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Electro Spirit', 'Fireball', 'Fisherman', 'Mega Minion', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Bomb Tower', 'Dart Goblin', 'Goblin Barrel', 'Knight', 'Princess', 'Skeleton Barrel', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Barbarian Barrel', 'Furnace', 'Goblin Hut', 'Lightning', 'Mega Knight', 'Mother Witch', 'Royal Ghost']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Cannon Cart', 'Fireball', 'Goblin Gang', 'Miner', 'Minion Horde', 'Mortar', 'Spear Goblins', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Dark Prince', 'Electro Spirit', 'Fire Spirit', 'Goblin Barrel', 'Inferno Tower', 'Princess', 'Rocket', 'Valkyrie']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'Tornado', 'X-Bow']","['Electro Spirit', 'Fisherman', 'Lightning', 'Mega Minion', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Baby Dragon', 'Bats', 'Clone', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Bats', 'Bowler', 'Goblin Hut', 'Graveyard', 'Skeleton Army', 'Skeleton King', 'Witch']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Arrows', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Royal Hogs', 'Royal Recruits', 'Zappies']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Bats', 'Inferno Dragon', 'Mega Knight', 'Mini P.E.K.K.A', 'P.E.K.K.A', 'Wizard', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Lightning', 'Mega Minion', 'Tornado']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Dark Prince', 'Fire Spirit', 'Guards', 'Inferno Tower', 'Miner', 'Poison', 'Rocket', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Balloon', 'Fireball', 'Inferno Dragon', 'Lumberjack', 'Miner', 'Minions', 'Royal Recruits', 'Zap']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Barbarian Barrel', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Tornado']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archers', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Dark Prince', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mega Minion', 'Royal Giant', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Bandit', 'Elite Barbarians', 'Firecracker', 'Goblin Drill', 'Princess', 'Royal Recruits', 'Tornado', 'Wall Breakers']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Magic Archer', 'P.E.K.K.A', 'Poison', 'Royal Ghost', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Bowler', 'Electro Wizard', 'Executioner', 'Graveyard', 'Ice Wizard', 'P.E.K.K.A', 'Tornado']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Executioner', 'Goblins', 'Hog Rider', 'Ice Spirit', 'Rocket', 'The Log', 'Tornado', 'Valkyrie']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archers', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p2
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Arrows', 'Battle Healer', 'Electro Dragon', 'Elite Barbarians', 'Elixir Golem', 'Heal Spirit', 'Inferno Dragon', 'Rage']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Arrows', 'Bomber', 'Giant Skeleton', 'Goblin Barrel', 'Mother Witch', 'Royal Giant', 'Skeleton Army', 'Zappies']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Hut', 'Graveyard', 'Ice Wizard', 'Tornado', 'Valkyrie']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Barbarian Barrel', 'Electro Wizard', 'Giant Snowball', 'Inferno Dragon', 'Mega Knight', 'Poison', 'Ram Rider']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Fireball', 'Giant', 'Minions', 'Musketeer', 'Prince', 'Skeleton Army', 'The Log', 'Zap']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Arrows', 'Fireball', 'Giant', 'Golden Knight', 'Graveyard', 'Inferno Dragon', 'Skeleton Army', 'Witch']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Barbarian Barrel', 'Bowler', 'Furnace', 'Hunter', 'Miner', 'Minion Horde', 'Rocket']",p2
