p1,p2,Winner
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archers', 'Barbarians', 'Fireball', 'Royal Giant', 'Skeletons', 'Tesla', 'The Log', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Bats', 'Fireball', 'Miner', 'Spear Goblins', 'Tesla', 'The Log', 'Valkyrie', 'Wall Breakers']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Cannon', 'Fireball', 'Hog Rider', 'Ice Golem', 'Ice Spirit', 'Musketeer', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p2
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Cannon Cart', 'Elite Barbarians', 'Elixir Collector', 'Heal Spirit', 'Mega Knight', 'Minion Horde', 'Rage', 'Wizard']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Arrows', 'Fireball', 'Giant', 'Graveyard', 'Inferno Dragon', 'Skeleton Army', 'Skeleton King', 'Witch']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Knight', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Tornado', 'X-Bow']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Arrows', 'Balloon', 'Barbarians', 'Lava Hound', 'Miner', 'Minions', 'Zap']",p2
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Balloon', 'Barbarian Barrel', 'Bowler', 'Electro Dragon', 'Freeze', 'Inferno Dragon', 'Lumberjack', 'Tornado']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Bandit', 'Barbarian Barrel', 'Electro Wizard', 'Giant Snowball', 'Lightning', 'P.E.K.K.A', 'Ram Rider']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Dark Prince', 'Electro Dragon', 'Fireball', 'Giant', 'Mega Minion', 'Miner', 'Prince', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Bats', 'Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeletons', 'The Log']",p2
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Arrows', 'Balloon', 'Lava Hound', 'Lightning', 'Mega Minion', 'Minions', 'Tombstone']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Arrows', 'Baby Dragon', 'Bats', 'Clone', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Cannon Cart', 'Dark Prince', 'Giant Snowball', 'Goblin Barrel', 'Princess', 'Rascals', 'Rocket', 'Spear Goblins']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Baby Dragon', 'Bomber', 'Golem', 'Lightning', 'Mega Minion', 'Mini P.E.K.K.A', 'Night Witch', 'Tornado']",p2
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Earthquake', 'Electro Wizard', 'Executioner', 'Hog Rider', 'P.E.K.K.A', 'Tornado', 'Valkyrie', 'Zap']",p1
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Archer Queen', 'Bandit', 'Barbarian Barrel', 'Electro Wizard', 'Lightning', 'P.E.K.K.A', 'Ram Rider', 'Royal Ghost']",p2
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Bandit', 'Bats', 'Fireball', 'Miner', 'Princess', 'Skeleton Army', 'Skeleton Barrel', 'Spear Goblins']",p2
"['Archer Queen', 'Cannon Cart', 'Goblin Cage', 'Mother Witch', 'Poison', 'Royal Hogs', 'Skeletons', 'The Log']","['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']",p1
