p1,p2,Winner
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Archer Queen', 'Bomber', 'Earthquake', 'Electro Spirit', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p2
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p2
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Baby Dragon', 'Battle Healer', 'Electro Dragon', 'Elixir Golem', 'Goblin Cage', 'Golden Knight', 'Lightning', 'The Log']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Lightning', 'Night Witch', 'Skeleton Dragons', 'Tornado']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Electro Wizard', 'Fireball', 'Giant', 'Golden Knight', 'Mega Minion', 'Miner', 'Prince', 'Zap']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Ice Wizard', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Tornado', 'Valkyrie', 'X-Bow']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Arrows', 'Barbarian Barrel', 'Fireball', 'Flying Machine', 'Goblin Cage', 'Royal Hogs', 'Royal Recruits', 'Zappies']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Barbarians', 'Goblins', 'Hog Rider', 'Miner', 'Mini P.E.K.K.A', 'Minions', 'Princess', 'Zap']",p2
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Electro Spirit', 'Goblin Barrel', 'Princess', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Archer Queen', 'Fire Spirit', 'Goblin Cage', 'Lightning', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Goblin Barrel', 'Ice Spirit', 'Princess', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Fire Spirit', 'Firecracker', 'Goblins', 'Hog Rider', 'Lightning', 'Tesla', 'The Log', 'Valkyrie']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Archer Queen', 'Earthquake', 'Fire Spirit', 'Goblin Cage', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p1
"['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']","['Archer Queen', 'Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeletons', 'The Log']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Cannon Cart', 'Fireball', 'Guards', 'Miner', 'Minion Horde', 'Mortar', 'Spear Goblins', 'The Log']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Electro Spirit', 'Fireball', 'Fisherman', 'Mega Minion', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Elite Barbarians', 'Golem', 'Lightning', 'Mega Minion', 'Night Witch', 'Tornado']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Dark Prince', 'Electro Wizard', 'Elite Barbarians', 'Goblin Giant', 'Heal Spirit', 'Rage', 'Sparky', 'Zap']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Fireball', 'Ice Golem', 'Ice Spirit', 'Musketeer', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Dark Prince', 'Electro Wizard', 'Elite Barbarians', 'Goblin Giant', 'Mega Minion', 'Rage', 'Sparky', 'Zap']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Barbarian Barrel', 'Dark Prince', 'Electro Dragon', 'Elixir Collector', 'Golem', 'Lumberjack', 'Skeleton Dragons', 'Tornado']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Barbarians', 'Elixir Collector', 'Freeze', 'Furnace', 'Golem', 'Graveyard', 'Minion Horde', 'Witch']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Bats', 'Fireball', 'Guards', 'Hog Rider', 'Minion Horde', 'Mortar', 'Spear Goblins', 'Zap']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Archer Queen', 'Fisherman', 'Lightning', 'P.E.K.K.A', 'Ram Rider', 'The Log', 'Zap', 'Zappies']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Dark Prince', 'Dart Goblin', 'Fireball', 'Freeze', 'Furnace', 'Graveyard', 'Minion Horde', 'Skeleton Army']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Arrows', 'Flying Machine', 'Goblin Cage', 'Guards', 'Inferno Dragon', 'Lava Hound', 'Miner', 'Skeleton Dragons']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Archer Queen', 'Bomber', 'Earthquake', 'Electro Spirit', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Baby Dragon', 'Bomber', 'Electro Dragon', 'Electro Giant', 'Heal Spirit', 'Lumberjack', 'Night Witch', 'Tornado']",p2
