team.card1.id,team.card1.name
26000000,Knight
26000001,Archers
26000002,Goblins
26000003,Giant
26000004,P.E.K.K.A
26000005,Minions
26000006,Balloon
26000007,Witch
26000008,Barbarians
26000009,Golem
26000010,Skeletons
26000011,Valkyrie
26000012,Skeleton Army
26000013,Bomber
26000014,Musketeer
26000015,Baby Dragon
26000016,Prince
26000017,Wizard
26000018,Mini P.E.K.K.A
26000019,Spear Goblins
26000020,Giant Skeleton
26000021,Hog Rider
26000022,Minion Horde
26000023,Ice Wizard
26000024,Royal Giant
26000025,Guards
26000026,Princess
26000027,Dark Prince
26000028,Three Musketeers
26000029,Lava Hound
26000030,Ice Spirit
26000031,Fire Spirits
26000032,Miner
26000033,Sparky
26000034,Bowler
26000035,Lumberjack
26000036,Battle Ram
26000037,Inferno Dragon
26000038,Ice Golem
26000039,Mega Minion
26000040,Dart Goblin
26000041,Goblin Gang
26000042,Electro Wizard
26000043,Elite Barbarians
26000044,Hunter
26000045,Executioner
26000046,Bandit
26000047,Royal Recruits
26000048,Night Witch
26000049,Bats
26000050,Royal Ghost
26000051,Ram Rider
26000052,Zappies
26000053,Rascals
26000054,Cannon Cart
26000055,Mega Knight
26000056,Skeleton Barrel
26000057,Flying Machine
26000058,Wall Breakers
26000059,Royal Hogs
26000060,Goblin Giant
26000061,Fisherman
26000062,Magic Archer
26000063,Electro Dragon
26000064,Firecracker
26000067,Elixir Golem
26000068,Battle Healer
26000080,Skeleton Dragons
26000083,Mother Witch
26000084,Electro Spirit
26000085,Electro Giant
27000000,Cannon
27000001,Goblin Hut
27000002,Mortar
27000003,Inferno Tower
27000004,Bomb Tower
27000005,Barbarian Hut
27000006,Tesla
27000007,Elixir Collector
27000008,X-Bow
27000009,Tombstone
27000010,Furnace
27000012,Goblin Cage
28000000,Fireball
28000001,Arrows
28000002,Rage
28000003,Rocket
28000004,Goblin Barrel
28000005,Freeze
28000006,Mirror
28000007,Lightning
28000008,Zap
28000009,Poison
28000010,Graveyard
28000011,The Log
28000012,Tornado
28000013,Clone
28000014,Earthquake
28000015,Barbarian Barrel
28000016,Heal Spirit
28000017,Giant Snowball
28000018,Royal Delivery
