p1,p2,Winner
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Golden Knight', 'Ice Spirit', 'Miner', 'Poison', 'Royal Delivery', 'Skeletons', 'Tesla', 'The Log']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Arrows', 'Balloon', 'Barbarians', 'Freeze', 'Lava Hound', 'Mega Minion', 'Minion Horde', 'Minions']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Goblin Giant', 'Heal Spirit', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Bomb Tower', 'Fireball', 'Magic Archer', 'Miner', 'Spear Goblins', 'Tornado', 'Valkyrie', 'Wall Breakers']",p2
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Archers', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Archer Queen', 'Fireball', 'Giant', 'Heal Spirit', 'Mini P.E.K.K.A', 'Sparky', 'Tornado', 'Zap']",p2
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Golden Knight', 'Magic Archer', 'P.E.K.K.A', 'Zap']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Barbarian Barrel', 'Cannon Cart', 'Fireball', 'Goblin Cage', 'Golden Knight', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons']",p2
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Lightning', 'Mega Minion', 'Tornado']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Bowler', 'Freeze', 'Inferno Dragon', 'Lumberjack', 'Tornado']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Arrows', 'Fireball', 'Goblin Cage', 'Graveyard', 'Inferno Dragon', 'Skeleton Army', 'Skeleton King', 'Witch']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Archer Queen', 'Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Arrows', 'Barbarians', 'Hog Rider', 'Minion Horde', 'Minions', 'Royal Giant', 'Sparky', 'Zap']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Bandit', 'Barbarian Barrel', 'Dark Prince', 'Electro Wizard', 'Fireball', 'Mother Witch', 'P.E.K.K.A', 'Ram Rider']",p1
"['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']","['Fire Spirit', 'Firecracker', 'Goblin Barrel', 'Inferno Tower', 'Skeletons', 'The Log', 'Valkyrie', 'Wall Breakers']",p2
"['Archer Queen', 'Arrows', 'Elite Barbarians', 'Fireball', 'Furnace', 'Goblin Hut', 'Royal Recruits', 'Zappies']","['Archer Queen', 'Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
