p1,p2,Winner
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Arrows', 'Dark Prince', 'Freeze', 'Giant', 'Graveyard', 'Inferno Dragon', 'Skeleton Army', 'Witch']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Electro Spirit', 'Goblin Barrel', 'Goblin Gang', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']",p2
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Dark Prince', 'Electro Wizard', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Rage', 'Sparky', 'Zap']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']",p2
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Cannon', 'Electro Spirit', 'Hog Rider', 'Ice Golem', 'Lightning', 'Musketeer', 'Skeletons', 'The Log']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Dark Prince', 'Electro Giant', 'Fisherman', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Mother Witch', 'Tornado']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Baby Dragon', 'Barbarians', 'Fireball', 'Inferno Dragon', 'Lava Hound', 'Miner', 'Night Witch', 'Zap']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Bowler', 'Freeze', 'Inferno Dragon', 'Lumberjack', 'Tornado']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Dark Prince', 'Electro Wizard', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Rage', 'Sparky', 'Zap']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Baby Dragon', 'Bowler', 'Electro Wizard', 'Freeze', 'Graveyard', 'Inferno Dragon', 'Tornado', 'Valkyrie']",p1
